iter	Passed	Remaining
277	1762	4577
278	1767	4567
279	1772	4558
280	1777	4548
281	1782	4539
282	1788	4532
283	1794	4524
284	1799	4515
285	1804	4505
286	1809	4495
287	1816	4489
288	1821	4482
289	1829	4479
290	1835	4472
291	1841	4465
292	1849	4462
293	1855	4456
294	1862	4449
295	1867	4441
296	1874	4436
297	1880	4429
298	1886	4423
299	1893	4417
300	1899	4410
301	1906	4405
302	1913	4400
303	1919	4394
304	1926	4390
305	1932	4383
306	1938	4375
307	1945	4370
308	1950	4361
309	1956	4355
310	1962	4348
311	1970	4345
312	1976	4338
313	1982	4331
314	1988	4325
315	1995	4318
316	2001	4311
317	2006	4303
318	2012	4295
319	2018	4289
320	2024	4283
321	2030	4275
322	2039	4274
323	2044	4266
324	2050	4259
325	2056	4252
326	2063	4247
327	2069	4239
328	2074	4231
329	2080	4223
330	2085	4215
331	2090	4206
332	2097	4200
333	2102	4193
334	2108	4186
335	2116	4182
336	2121	4174
337	2127	4167
338	2135	4163
339	2140	4155
340	2147	4150
341	2152	4141
342	2159	4135
343	2166	4130
344	2172	4125
345	2181	4122
346	2186	4115
347	2195	4112
348	2202	4108
349	2209	4102
350	2214	4093
351	2218	4084
352	2225	4078
353	2230	4070
354	2235	4060
355	2239	4051
356	2244	4042
357	2248	4032
358	2255	4027
359	2261	4020
360	2266	4011
361	2272	4004
362	2276	3995
363	2280	3985
364	2285	3976
365	2290	3968
366	2296	3960
367	2300	3951
368	2307	3945
369	2314	3940
370	2321	3936
371	2327	3928
372	2333	3922
373	2337	3912
374	2342	3904
375	2348	3897
376	2353	3888
377	2358	3881
378	2364	3874
379	2369	3866
380	2375	3858
381	2379	3850
382	2385	3843
383	2390	3834
384	2396	3828
385	2401	3820
386	2409	3816
387	2416	3812
388	2423	3807
389	2431	3803
390	2443	3805
391	2452	3803
392	2460	3800
393	2468	3797
394	2485	3806
395	2492	3802
396	2501	3799
397	2509	3796
398	2517	3791
399	2525	3787
400	2533	3784
401	2546	3787
402	2554	3784
403	2563	3781
404	2571	3777
405	2580	3775
406	2593	3779
407	2604	3778
408	2614	3777
409	2622	3773
410	2631	3770
411	2640	3768
412	2644	3758
413	2648	3749
414	2655	3743
415	2660	3735
416	2665	3726
417	2670	3718
418	2675	3710
419	2682	3704
420	2688	3697
421	2694	3690
422	2700	3683
423	2705	3675
424	2711	3668
425	2716	3660
426	2721	3652
427	2726	3644
428	2733	3638
429	2738	3630
430	2744	3622
431	2749	3615
432	2755	3608
433	2760	3600
434	2766	3593
435	2771	3585
436	2776	3577
437	2783	3571
438	2787	3562
439	2792	3554
440	2797	3546
441	2802	3538
442	2807	3530
443	2812	3521
444	2816	3512
445	2822	3506
446	2830	3501
447	2835	3493
448	2841	3486
449	2846	3478
450	2854	3474
451	2860	3467
452	2866	3461
453	2873	3455
454	2882	3452
455	2888	3446
456	2896	3441
457	2902	3434
458	2907	3427
459	2913	3420
460	2919	3413
461	2925	3406
462	2930	3398
463	2935	3390
464	2940	3383
465	2945	3375
466	2950	3367
467	2955	3360
468	2961	3353
469	2966	3345
470	2971	3337
471	2976	3329
472	2980	3320
473	2985	3312
474	2990	3305
475	2995	3298
476	3001	3290
477	3007	3283
478	3012	3276
479	3018	3270
480	3024	3263
481	3029	3256
482	3036	3249
483	3041	3242
484	3047	3236
485	3054	3230
486	3060	3223
487	3065	3216
488	3070	3208
489	3076	3201
490	3081	3194
491	3086	3186
492	3091	3179
493	3096	3171
494	3100	3163
495	3105	3155
496	3111	3149
497	3118	3143
498	3122	3135
499	3127	3127
500	3134	3121
501	3139	3114
502	3144	3106
503	3151	3101
504	3157	3094
505	3162	3087
506	3168	3080
507	3173	3073
508	3180	3067
509	3184	3059
510	3190	3053
511	3195	3046
512	3201	3039
513	3207	3033
514	3215	3027
515	3220	3020
516	3226	3014
517	3230	3006
518	3234	2997
519	3239	2990
520	3244	2982
521	3249	2975
522	3253	2967
523	3259	2960
524	3264	2953
525	3269	2945
526	3273	2938
527	3279	2931
528	3283	2923
529	3289	2916
530	3294	2909
531	3299	2902
532	3304	2895
533	3310	2889
534	3315	2882
535	3321	2875
536	3328	2869
537	3333	2862
538	3337	2854
539	3343	2847
540	3348	2840
541	3354	2834
542	3359	2827
543	3363	2819
544	3367	2811
545	3372	2804
546	3377	2797
547	3384	2791
548	3389	2784
549	3394	2777
550	3401	2772
551	3407	2765
552	3411	2757
553	3415	2749
554	3421	2742
555	3425	2735
556	3430	2728
557	3435	2721
558	3440	2714
559	3446	2707
560	3453	2702
561	3461	2697
562	3469	2693
563	3478	2689
564	3489	2686
565	3497	2682
566	3505	2676
567	3513	2672
568	3519	2665
569	3524	2658
570	3541	2660
571	3547	2654
572	3555	2649
573	3563	2645
574	3570	2638
575	3576	2632
576	3585	2628
577	3594	2624
578	3606	2622
579	3617	2619
580	3626	2615
581	3634	2610
582	3645	2607
583	3655	2603
584	3664	2599
585	3675	2596
586	3684	2592
587	3695	2589
588	3707	2587
589	3714	2581
590	3723	2576
591	3730	2570
592	3738	2565
593	3754	2566
594	3771	2567
595	3781	2563
596	3794	2561
597	3804	2557
598	3811	2551
599	3818	2545
600	3826	2540
601	3834	2535
602	3839	2528
603	3847	2522
604	3853	2516
605	3860	2509
606	3870	2506
607	3877	2500
608	3885	2494
609	3892	2488
610	3898	2481
611	3903	2474
612	3911	2469
613	3920	2464
614	3926	2458
615	3931	2450
616	3936	2443
617	3941	2436
618	3946	2429
619	3951	2421
620	3957	2414
621	3964	2409
622	3969	2402
623	3974	2394
624	3985	2391
625	4001	2390
626	4017	2390
627	4033	2389
628	4043	2385
629	4052	2380
630	4073	2382
631	4080	2376
632	4089	2371
633	4097	2365
634	4105	2359
635	4121	2358
636	4128	2352
637	4134	2346
638	4141	2339
639	4147	2333
640	4154	2326
641	4161	2320
642	4168	2314
643	4173	2307
644	4180	2300
645	4185	2293
646	4191	2286
647	4196	2279
648	4203	2273
649	4209	2266
650	4215	2260
651	4221	2253
652	4226	2246
653	4232	2239
654	4238	2232
655	4245	2226
656	4251	2219
657	4258	2213
658	4264	2206
659	4271	2200
660	4277	2193
661	4282	2186
662	4288	2179
663	4295	2173
664	4302	2167
665	4308	2160
666	4314	2153
667	4319	2146
668	4324	2139
669	4330	2132
670	4335	2125
671	4341	2118
672	4346	2112
673	4353	2105
674	4359	2099
675	4364	2092
676	4370	2085
677	4376	2078
678	4381	2071
679	4387	2064
680	4394	2058
681	4399	2051
682	4406	2045
683	4412	2038
684	4417	2031
685	4423	2024
686	4428	2017
687	4433	2010
688	4440	2004
689	4447	1997
690	4453	1991
691	4459	1984
692	4464	1977
693	4470	1971
694	4476	1964
695	4481	1957
696	4487	1950
697	4493	1944
698	4499	1937
699	4504	1930
700	4510	1923
701	4516	1917
702	4522	1910
703	4530	1904
704	4535	1897
705	4540	1891
706	4546	1884
707	4552	1877
708	4561	1872
709	4568	1866
710	4574	1859
711	4580	1852
712	4587	1846
713	4593	1840
714	4598	1833
715	4604	1826
716	4612	1820
717	4620	1814
718	4627	1808
719	4635	1802
720	4641	1796
721	4647	1789
722	4652	1782
723	4658	1775
724	4664	1769
725	4671	1763
726	4681	1758
727	4685	1750
728	4691	1744
729	4697	1737
730	4702	1730
731	4708	1723
732	4713	1717
733	4719	1710
734	4724	1703
735	4731	1697
736	4737	1690
737	4743	1684
738	4748	1677
739	4754	1670
740	4760	1663
741	4765	1657
742	4771	1650
743	4778	1644
744	4782	1637
745	4788	1630
746	4793	1623
747	4798	1616
748	4803	1609
749	4809	1603
750	4814	1596
751	4819	1589
752	4824	1582
753	4829	1575
754	4834	1568
755	4840	1562
756	4845	1555
757	4850	1548
758	4854	1541
759	4859	1534
760	4863	1527
761	4869	1520
762	4874	1514
763	4879	1507
764	4884	1500
765	4889	1493
766	4894	1486
767	4899	1480
768	4904	1473
769	4908	1466
770	4913	1459
771	4919	1452
772	4925	1446
773	4930	1439
774	4935	1432
775	4939	1425
776	4944	1419
777	4949	1412
778	4953	1405
779	4958	1398
780	4963	1391
781	4970	1385
782	4975	1379
783	4981	1372
784	4992	1367
785	5000	1361
786	5006	1354
787	5012	1348
788	5018	1341
789	5024	1335
790	5029	1329
791	5038	1323
792	5043	1316
793	5049	1309
794	5054	1303
795	5059	1296
796	5066	1290
797	5071	1283
798	5076	1277
799	5081	1270
800	5086	1263
801	5090	1256
802	5095	1250
803	5100	1243
804	5104	1236
805	5109	1229
806	5113	1223
807	5118	1216
808	5123	1209
809	5128	1202
810	5133	1196
811	5138	1189
812	5143	1183
813	5147	1176
814	5153	1169
815	5158	1163
816	5163	1156
817	5169	1150
818	5173	1143
819	5178	1136
820	5184	1130
821	5188	1123
822	5193	1116
823	5198	1110
824	5203	1103
825	5208	1097
826	5213	1090
827	5218	1084
828	5222	1077
829	5227	1070
830	5232	1064
831	5237	1057
832	5241	1050
833	5246	1044
834	5252	1037
835	5257	1031
836	5263	1025
837	5268	1018
838	5273	1011
839	5278	1005
840	5282	998
841	5287	992
842	5291	985
843	5296	978
844	5301	972
845	5307	966
846	5312	959
847	5316	953
848	5324	947
849	5334	941
850	5342	935
851	5351	929
852	5359	923
853	5367	917
854	5374	911
855	5382	905
856	5389	899
857	5396	893
858	5404	887
859	5413	881
860	5421	875
861	5431	869
862	5445	864
863	5449	857
864	5458	851
865	5468	846
866	5478	840
867	5486	834
868	5491	827
869	5495	821
870	5502	814
871	5506	808
872	5511	801
873	5515	795
874	5521	788
875	5525	782
876	5530	775
877	5534	769
878	5541	762
879	5546	756
880	5551	749
881	5557	743
882	5561	736
883	5566	730
884	5571	723
885	5576	717
886	5582	711
887	5587	704
888	5598	699
889	5606	692
890	5615	686
891	5624	680
892	5637	675
893	5648	669
894	5660	664
895	5668	657
896	5677	651
897	5685	645
898	5693	639
899	5701	633
900	5714	627
901	5722	621
902	5731	615
903	5743	609
904	5751	603
905	5759	597
906	5766	591
907	5781	585
908	5793	580
909	5802	573
910	5811	567
911	5819	561
912	5832	555
913	5840	549
914	5849	543
915	5857	537
916	5861	530
917	5866	524
918	5870	517
919	5875	510
920	5880	504
921	5885	497
922	5890	491
923	5897	485
924	5901	478
925	5906	472
926	5911	465
927	5916	459
928	5922	452
929	5928	446
930	5933	439
931	5939	433
932	5944	426
933	5950	420
934	5954	413
935	5959	407
936	5964	401
937	5969	394
938	5974	388
939	5979	381
940	5984	375
941	5988	368
942	5994	362
943	6000	355
944	6005	349
945	6010	343
946	6015	336
947	6021	330
948	6026	323
949	6030	317
950	6035	310
951	6039	304
952	6045	298
953	6050	291
954	6055	285
955	6061	278
956	6065	272
957	6072	266
958	6077	259
959	6082	253
960	6086	247
961	6092	240
962	6097	234
963	6101	227
964	6106	221
965	6111	215
966	6116	208
967	6121	202
968	6126	196
969	6130	189
970	6135	183
971	6140	176
972	6145	170
973	6150	164
974	6155	157
975	6160	151
976	6165	145
977	6170	138
978	6175	132
979	6180	126
980	6184	119
981	6189	113
982	6193	107
983	6199	100
984	6203	94
985	6209	88
986	6214	81
987	6219	75
988	6224	69
989	6229	62
990	6234	56
991	6239	50
992	6244	44
993	6249	37
994	6254	31
995	6259	25
996	6265	18
997	6270	12
998	6274	6
999	6280	0
