iter	RMSE
195	1.991987626
196	1.991335237
197	1.990490118
198	1.988914682
199	1.986686473
200	1.986102617
201	1.985371684
202	1.984773963
203	1.98367129
204	1.982729882
205	1.981860146
206	1.980641062
207	1.979733302
208	1.977022045
209	1.975641017
210	1.974844295
211	1.974444474
212	1.972784837
213	1.970388194
214	1.969959701
215	1.967955666
216	1.966488823
217	1.966380747
218	1.964395219
219	1.964291314
220	1.963278472
221	1.962215202
222	1.962156424
223	1.960632139
224	1.95964749
225	1.959324785
226	1.958837238
227	1.958080848
228	1.957530311
229	1.955406977
230	1.953833226
231	1.953786924
232	1.952656068
233	1.950068982
234	1.948053406
235	1.947624345
236	1.947281322
237	1.946528905
238	1.945205204
239	1.943607648
240	1.942777975
241	1.94098886
242	1.939720295
243	1.937857004
244	1.935199244
245	1.934076957
246	1.933240782
247	1.930913638
248	1.929668121
249	1.92890899
250	1.92687362
251	1.925427819
252	1.925374716
253	1.92287856
254	1.92033477
255	1.919114295
256	1.917862179
257	1.917191921
258	1.915528892
259	1.914885285
260	1.914072032
261	1.913092461
262	1.912885733
263	1.911735573
264	1.911581311
265	1.910423847
266	1.908622116
267	1.907734027
268	1.905169189
269	1.903700791
270	1.902903144
271	1.902289362
272	1.901329528
273	1.901281655
274	1.90065872
275	1.89954751
276	1.899331706
277	1.89701004
278	1.89584406
279	1.893922998
280	1.893408785
281	1.893361396
282	1.892135229
283	1.892100189
284	1.891145999
285	1.890383917
286	1.888013496
287	1.887185979
288	1.885784845
289	1.885119811
290	1.884119819
291	1.883718961
292	1.883564257
293	1.882470953
294	1.882430434
295	1.880319593
296	1.879325763
297	1.879281237
298	1.877936102
299	1.875886418
300	1.875121274
301	1.873462458
302	1.871865482
303	1.870672938
304	1.869324189
305	1.866703865
306	1.865571607
307	1.8655373
308	1.863180954
309	1.861486395
310	1.860453577
311	1.859468161
312	1.859129424
313	1.857335254
314	1.856410339
315	1.854236967
316	1.853156698
317	1.851639548
318	1.851317489
319	1.850921493
320	1.849372083
321	1.84827088
322	1.847970695
323	1.8479421
324	1.847220942
325	1.846358531
326	1.845461415
327	1.845419603
328	1.84354792
329	1.842267524
330	1.842241103
331	1.841620862
332	1.841074881
333	1.840119985
334	1.838775514
335	1.838279518
336	1.836697539
337	1.834377574
338	1.833471222
339	1.832461739
340	1.830814202
341	1.829632617
342	1.829549755
343	1.828751813
344	1.827824332
345	1.826227269
346	1.825912431
347	1.824083947
348	1.823209426
349	1.823184757
350	1.8227542
351	1.821974883
352	1.820751115
353	1.819910111
354	1.817767115
355	1.816772323
356	1.81613543
357	1.814296971
358	1.814081763
359	1.8137063
360	1.813452015
361	1.811523978
362	1.811004478
363	1.810983751
364	1.810710405
365	1.809652833
366	1.807777686
367	1.806780698
368	1.8058743
369	1.80436546
370	1.803626969
371	1.802405026
372	1.801586997
373	1.801141922
374	1.798927078
375	1.798197096
376	1.798149309
377	1.797059491
378	1.795739717
379	1.795634609
380	1.794706318
381	1.793286188
382	1.792222535
383	1.791316146
384	1.790303898
385	1.78926847
386	1.788815768
387	1.788659564
388	1.787068952
389	1.786556075
390	1.785668552
391	1.785633139
392	1.784872894
393	1.784099783
394	1.783059602
395	1.781875845
396	1.781686021
397	1.781292494
398	1.780990836
399	1.778936617
400	1.778515551
401	1.777118211
402	1.776081199
403	1.774531873
404	1.773164896
405	1.772873329
406	1.771786174
407	1.770818359
408	1.76940859
409	1.769234744
410	1.76770656
411	1.766790995
412	1.766538472
413	1.766514767
414	1.765241753
415	1.764935282
416	1.764550897
417	1.763179992
418	1.761983
419	1.760963859
420	1.760720815
421	1.759352559
422	1.758877526
423	1.758161923
424	1.757893886
425	1.756885368
426	1.755590624
427	1.755489716
428	1.754715496
429	1.753089059
430	1.751835699
431	1.75037093
432	1.749895994
433	1.749627727
434	1.749541004
435	1.748500752
436	1.747110608
437	1.746396154
438	1.744751479
439	1.743602898
440	1.742787377
441	1.742671063
442	1.742200196
443	1.742031666
444	1.741783745
445	1.740291123
446	1.738895628
447	1.738273693
448	1.736722337
449	1.736059049
450	1.735562972
451	1.735551846
452	1.734003912
453	1.732355379
454	1.731641596
455	1.730514122
456	1.72982278
457	1.728155585
458	1.727499439
459	1.727276633
460	1.725393753
461	1.724690512
462	1.724509936
463	1.724482767
464	1.723292057
465	1.721867906
466	1.72138567
467	1.720152275
468	1.718855042
469	1.717168681
470	1.715825524
471	1.715104155
472	1.715055183
473	1.713684218
474	1.712974164
475	1.712181745
476	1.711062238
477	1.710033601
478	1.709995894
479	1.708584875
480	1.707459392
481	1.705632929
482	1.705584804
483	1.704749363
484	1.703077259
485	1.702260915
486	1.700802234
487	1.699920249
488	1.699550412
489	1.697961052
490	1.696786466
491	1.695944465
492	1.695900659
493	1.695851399
494	1.695804388
495	1.694822336
496	1.69430964
497	1.694080676
498	1.693767768
499	1.69374274
500	1.693260557
501	1.692033002
502	1.690365472
503	1.690236033
504	1.688862803
505	1.688126752
506	1.687443198
507	1.686886307
508	1.685940771
509	1.684742237
510	1.683667879
511	1.682709251
512	1.682357442
513	1.681525823
514	1.681046084
515	1.68069218
516	1.679513336
517	1.679047057
518	1.678668145
519	1.677518237
520	1.676845337
521	1.676352724
522	1.675692574
523	1.675115621
524	1.67380211
525	1.672575409
526	1.67169793
527	1.670210178
528	1.670177094
529	1.669888419
530	1.668886179
531	1.668851889
532	1.668165943
533	1.667323278
534	1.667208629
535	1.666355457
536	1.665000209
537	1.663460999
538	1.662939811
539	1.662498892
540	1.661979801
541	1.660759904
542	1.659598688
543	1.658577399
544	1.658554359
545	1.657489522
546	1.656644365
547	1.655615762
548	1.655120824
549	1.65431019
550	1.652830275
551	1.651696257
552	1.651670253
553	1.651239818
554	1.6504628
555	1.649525303
556	1.64902316
557	1.648533891
558	1.647808454
559	1.647305475
560	1.646436608
561	1.64532525
562	1.644343646
563	1.643973736
564	1.6425534
565	1.642527299
566	1.641994503
567	1.641187958
568	1.640210241
569	1.63894026
570	1.638827632
571	1.638476174
572	1.637827932
573	1.636692888
574	1.635628354
575	1.6345533
576	1.633556608
577	1.633410924
578	1.631983743
579	1.631585796
580	1.631250345
581	1.63024215
582	1.629157154
583	1.62785389
584	1.626376955
585	1.625718177
586	1.624742788
587	1.624403912
588	1.624148127
589	1.624135268
590	1.624125873
591	1.623257719
592	1.622503941
593	1.621812332
594	1.621167202
595	1.620643382
596	1.619292101
597	1.617956351
598	1.617834508
599	1.616344849
600	1.615947546
601	1.615753799
602	1.615275331
603	1.614086573
604	1.613975543
605	1.613435869
606	1.613088938
607	1.612163145
608	1.612135874
609	1.611583589
610	1.611310971
611	1.610425821
612	1.609475583
613	1.608279006
614	1.60797886
615	1.606968491
616	1.606467375
617	1.605878066
618	1.605443822
619	1.604220414
620	1.604170238
621	1.602753093
622	1.601698784
623	1.600660662
624	1.599947751
625	1.59944329
626	1.59866794
627	1.598420512
628	1.598317041
629	1.598053025
630	1.597539226
631	1.596319556
632	1.59560001
633	1.594283662
634	1.593436383
635	1.592535147
636	1.592127728
637	1.59087822
638	1.589494712
639	1.588722546
640	1.587649557
641	1.586808179
642	1.585868648
643	1.584628909
644	1.583456115
645	1.582635966
646	1.582179228
647	1.581952436
648	1.581554246
649	1.581448738
650	1.581420432
651	1.581396425
652	1.580514248
653	1.580064744
654	1.578724596
655	1.577653035
656	1.576713034
657	1.576088236
658	1.575756333
659	1.575469943
660	1.575137986
661	1.574459585
662	1.574275878
663	1.573348504
664	1.572675313
665	1.571697645
666	1.571394614
667	1.570345752
668	1.569704709
669	1.568545303
670	1.56765069
671	1.567295735
672	1.567186864
673	1.565954156
674	1.565189957
675	1.565142745
676	1.564875506
677	1.563835479
678	1.563288562
679	1.563268541
680	1.56269004
681	1.562476549
682	1.562400588
683	1.561155099
684	1.56027076
685	1.559780317
686	1.559754718
687	1.559411493
688	1.558552902
689	1.557675171
690	1.557073419
691	1.556326041
692	1.555115783
693	1.553868199
694	1.553321702
695	1.551988675
696	1.551446927
697	1.551005218
698	1.55074952
699	1.549911354
700	1.549367637
701	1.548623397
702	1.548349529
703	1.54748129
704	1.546742286
705	1.546700496
706	1.546194201
707	1.546078763
708	1.545834577
709	1.545563708
710	1.544924219
711	1.544647813
712	1.543337932
713	1.542771537
714	1.541793253
715	1.54105932
716	1.540721052
717	1.539578249
718	1.539021514
719	1.538168453
720	1.536854427
721	1.53560561
722	1.535442617
723	1.534698122
724	1.534108101
725	1.532672142
726	1.531526316
727	1.531511178
728	1.530878105
729	1.530865038
730	1.529446441
731	1.528532306
732	1.527654086
733	1.527301544
734	1.526543097
735	1.52602497
736	1.52486908
737	1.523932662
738	1.523035974
739	1.522950305
740	1.522914575
741	1.522361151
742	1.521531768
743	1.521126349
744	1.521105795
745	1.521001635
746	1.520482719
747	1.520041494
748	1.520027422
749	1.51993057
750	1.519248062
751	1.519046152
752	1.518166066
753	1.517479771
754	1.517107667
755	1.516710585
756	1.516232083
757	1.515187669
758	1.514360943
759	1.513285754
760	1.512361841
761	1.511958209
762	1.511530167
763	1.510332089
764	1.509794459
765	1.508642
766	1.508274341
767	1.50728225
768	1.506946364
769	1.506674181
770	1.506399128
771	1.505254305
772	1.504240613
773	1.503100786
774	1.503080729
775	1.502404501
776	1.501543141
777	1.500531893
778	1.500465054
779	1.500086205
780	1.498972508
781	1.49868921
782	1.497674032
783	1.497492956
784	1.497148507
785	1.496719123
786	1.496194976
787	1.495543709
788	1.494629937
789	1.494615192
790	1.493502306
791	1.492397234
792	1.49168573
793	1.491622405
794	1.491437994
795	1.490544976
796	1.489276224
797	1.48896877
798	1.488294079
799	1.488121434
800	1.486889846
801	1.486148072
802	1.485833662
803	1.485504858
804	1.485066266
805	1.485049728
806	1.483959697
807	1.48372523
808	1.483409551
809	1.483207844
810	1.48233226
811	1.481524106
812	1.481307622
813	1.481113446
814	1.480428714
815	1.479706837
816	1.478821785
817	1.477989092
818	1.477816326
819	1.477377743
820	1.477138426
821	1.476965255
822	1.476074532
823	1.475457892
824	1.474492964
825	1.474030039
826	1.47381158
827	1.473676554
828	1.473454216
829	1.47332388
830	1.473105802
831	1.472180703
832	1.471456169
833	1.47096383
834	1.470582385
835	1.469643575
836	1.468609006
837	1.468087401
838	1.468010785
839	1.467898463
840	1.467626142
841	1.467570377
842	1.467545488
843	1.467230441
844	1.466778386
845	1.466766958
846	1.466000775
847	1.465802739
848	1.465295162
849	1.464404528
850	1.46422247
851	1.463325007
852	1.46322552
853	1.462963741
854	1.462827228
855	1.462176002
856	1.461874272
857	1.461403525
858	1.461339064
859	1.460675872
860	1.460657377
861	1.459929249
862	1.459167188
863	1.459161545
864	1.45838881
865	1.457518088
866	1.456928725
867	1.456072655
868	1.456060607
869	1.455421915
870	1.454862008
871	1.454663034
872	1.454214818
873	1.453249742
874	1.452473354
875	1.45240497
876	1.451788004
877	1.451001362
878	1.450207732
879	1.449451461
880	1.448352656
881	1.448080888
882	1.447181804
883	1.446642434
884	1.445832013
885	1.445695296
886	1.445655109
887	1.445068188
888	1.444615013
889	1.4434034
890	1.442468942
891	1.441484416
892	1.440317519
893	1.439878024
894	1.439374774
895	1.438432457
896	1.437630178
897	1.437273978
898	1.437052858
899	1.43606002
900	1.435376238
901	1.435048293
902	1.434712298
903	1.434108318
904	1.434097152
905	1.433834692
906	1.433232128
907	1.432900523
908	1.432385311
909	1.431463286
910	1.431222592
911	1.431211065
912	1.43027877
913	1.429354679
914	1.429043272
915	1.42843956
916	1.428370853
917	1.427983232
918	1.42781384
919	1.427447698
920	1.427431549
921	1.427417833
922	1.426698984
923	1.426290102
924	1.425602689
925	1.424977111
926	1.424964704
927	1.424226078
928	1.423486957
929	1.423077463
930	1.422164462
931	1.422102015
932	1.421713781
933	1.421160666
934	1.420078666
935	1.419701089
936	1.419683019
937	1.419011634
938	1.418109146
939	1.417214672
940	1.417104193
941	1.416834989
942	1.416407011
943	1.415948239
944	1.415774359
945	1.415700379
946	1.415492064
947	1.414522624
948	1.413892649
949	1.413876363
950	1.413237619
951	1.413047195
952	1.412417286
953	1.41219392
954	1.410870526
955	1.410588771
956	1.409711466
957	1.409507374
958	1.408728928
959	1.408682102
960	1.408560533
961	1.40790379
962	1.40717884
963	1.407054703
964	1.406430165
965	1.40568063
966	1.405430945
967	1.404838766
968	1.404184588
969	1.404027745
970	1.403888773
971	1.40329463
972	1.40244782
973	1.401897076
974	1.401717669
975	1.401547206
976	1.401221983
977	1.400853266
978	1.400667359
979	1.400403891
980	1.400320712
981	1.399678932
982	1.399403973
983	1.398765385
984	1.398126218
985	1.397421251
986	1.396742489
987	1.396592565
988	1.396334794
989	1.395634567
990	1.395087999
991	1.3944439
992	1.393791312
993	1.393116992
994	1.392178566
995	1.3916739
996	1.391172488
997	1.390768496
998	1.390662373
999	1.389835437
